레시피일련번호,요리명,요리인분명_no,요리인분명,요리내용,재료명,중량,단위,재료분류
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,북어포 ,1,마리,재료
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,찹쌀가루 ,1,C,재료
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,간장 ,2,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,설탕 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,물 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,다진파 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,다진마늘 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,참기름 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,깨소금 ,1,T,양념
139247,북어갈비,2,2인분,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,후춧가루 ,약간,-,양념
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,토마토 ,1,개,양념
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,토마토 페이스트 ,3,T,양념
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,양파 ,1/2개,-,양념
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,다진마늘 ,1,T,양념
149207,토마토스파게티,1,1인분,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,피망 ,1/2개,-,양념
